sentence_id,sqs,per:title,per:founded_org,per:place_of_birth,per:children,per:cause_of_death,per:top_member_employee_of_org,per:employee_or_member_of,per:spouse,org:alternate_names,per:age,org:subsidiaries,per:place_of_death,per:schools_attended,org:place_of_headquarters,per:charges,per:places_of_residence,none,term1,b1,e1,term2,b2,e2,sentence
UAD-A-0076,0.8181801197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445461395,0.0463192194,0.9091346411,Princess,22,23,New York,19,21,"ALM Flight 980 was a flight scheduled to fly from John F. Kennedy International Airport in New York , New York to Princess Juliana International Airport in St ."
UAD-A-0077,0.8565085121,0,0,0.0715969486,0,0,0,0,0,0.0001054628,0,0,0,0,0,0.0001054628,0.0715969486,0.9282975887,Robert Pattinson,4,6,London,1,2,A London paper claims Robert Pattinson let it slip that he’s dating Kristen Stewart for realsies .
UAD-A-0078,0.3739990137,0,0,0.075012963,0,0,0.0824747221,0.0824747221,0,0,0,0,0,0,0,0,0.263320241,0.5791920739,Norma Aleandro,13,15,Buenos Aires,18,20,"A lovely , intimate portrait of a complex relationship , the film stars Norma Aleandro as a divorced Buenos Aires bourgeoise fallen on hard times , and Norma Argentina as her maid ."
UAD-A-0079,0.7151566479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446034824,0.1059861154,0.8494104022,Al Pacino,0,2,New York,11,13,"Al Pacino and John Cusack star as the idealistic Mayor of New York John Pappas , and Deputy Mayor , Kevin Calhoun respectively ."
UAD-A-0080,0.530485512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6790982819,0.3209017181,Charlie,33,34,New York,13,15,"Alphonse had firm and solid criminal connections to the other Five Families of New York City , including senior members of the Colombo crime family , and a mobster ex-father- in-law Charles ( Charlie Prunes ) Ruvolo , who was a Lucchese crime family mobster ."
UAD-A-0081,0.745393954,0,0.201775986,0,0,0,0.8215978361,0.9025155778,0,0,0,0,0,0,0,0,0,0.0290685044,Osama bin Laden,2,5,Al-Qaeda,0,1,"Al-Qaeda leader Osama bin Laden warned Europe Wednesday of a `` reckoning '' for publishing controversial cartoons of the Prophet Mohammed , US monitoring groups said ."
UAD-A-0082,0.935595929,0,0,1,0,0,0.0416815108,0.0416815108,0,0,0,0,0,0,0.0416815108,0,0.1067777884,0,Osama bin Laden,2,5,Saudi Arabia,8,10,Al-Qaeda leader Osama bin Laden was born in Saudi Arabia although he has since been stripped of his nationality .
UAD-A-0084,0.7799032576,0,0.1496449471,0,0,0,0.8429818698,0.9141994308,0,0,0,0,0,0,0.0230336472,0,0,0,Osama bin Laden,15,18,Al-Qaida,0,1,"Al-Qaida often uses Arab television stations to release videos of news from its leaders , Osama bin Laden and Ayman al-Zawahri , who are widely believed to be hiding in Pakistan 's tribal areas along the border with Afghanistan ."
UAD-A-0085,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Sarrantonio,0,2,New York City,10,13,"Al Sarrantonio ( born May 25 , 1952 , in New York City ) is an American horror and science fiction author who has published , over the past thirty years , more than forty books and sixty short stories ."
UAD-A-0086,0.2729091437,0,0,0.3282815996,0,0,0.0071825554,0.0071825554,0.0046552438,0.0025273116,0,0.0046552438,0.0046552438,0,0,0.0046552438,0.3083739676,0.3608171212,Gavin Newsom,9,11,San Francisco,7,9,Also making an appearance on stage was San Francisco Gavin Newsom while Queen Rania of Jordan appeared in a videotaped message to receive the first YouTube Visionary Award .
UAD-A-0087,0.9302330579,0,0,1,0,0,0,0,0,0.0778339992,0,0,0,0,0,0,0.0709613406,0,Magnus Samuelsson,9,11,Kisa,14,15,"Also , Met-Rx World Strongest Man 1998 winner - Magnus Samuelsson was born in Kisa , Sweden ."
UAD-A-0088,0.2865352631,0,0,0.4753625599,0,0,0.1150698238,0.1916643625,0,0,0,0,0,0,0,0,0.3556205006,0.1177311301,Tianna Madison,8,10,US,5,6,"Also on hand will be US long jumper Tianna Madison , the 2005 women 's world champion , plus 2004 Olympic men 's pole vault champion Tim Mack and 2000 Olympic women 's pole vault champion Stacy Dragila , both Americans ."
UAD-A-0089,0.6927912172,0,0,0.0716505315,0,0.0050652459,0.7902339726,0.8680142885,0.0050652459,0.0050652459,0,0.0050652459,0,0,0.0882696018,0,0.1124563838,0,Kim Jong Il,26,29,North Korea,20,22,"ALSO : -- VISIT-SUMMIT. SEOUL , South Korea -- An opposition South Korean lawmaker says an ex-Cabinet minister secretly visited North Korea and met with leader Kim Jong Il amid media speculation that Seoul might be seeking a second summit with Pyongyang ."
UAD-A-0092,0.7979206299,0,0,0,0,0,0.1574302169,0.936547554,0,0,0,0,0,0,0,0,0,0.063452446,Terry Gilliam,34,36,Monty Python,27,29,"Although the members of Monty Python had already encountered each other over the years , The Frost Report was the first time all the British members of Monty Python ( its sixth member , Terry Gilliam , was at that time an American citizen ) worked together ."
UAD-A-0095,0.4796856686,0,0,0.0760716571,0,0,0,0,0,0.0967028102,0,0,0,0,0.0482322584,0,0.0997717861,0.7076311733,Viktor Nogin,26,28,Moscow,18,19,"A main station on the Moscow Metro is Kitay-Gorod , originally called Ploshchad Nogina , after the main Moscow square that once carried the name of Viktor Nogin ."
UAD-A-0096,0.972614801,0,0,0,0,0,0.9522795484,1,0,0,0,0,0,0,0,0,0,0,Jeff Bezos,13,15,Amazon,1,2,"`` Amazon is screwing it up for everyone. '' Even Amazon.com chief executive Jeff Bezos admitted at the company 's annual meeting last week that while Amazon has presold more than a million copies of the book , it wo n't make a profit from Potter ."
UAD-A-0097,0.9493802408,0,0,0,0,0,0.9074027149,1,0,0,0,0,0,0,0,0,0,0,Jorge Telerman,27,29,Buenos Aires,23,25,"Ambassadors Rafael Eldad of Israel and Farid Suwan of the Palestine Authority sat in the front row at the concert , along with Buenos Aires regional governor Jorge Telerman ."
UAD-A-0099,0.6718600487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347607819,0,0.1450897547,0.8201494634,Bob,25,26,New York City,33,36,"A memorable live version was performed by Bob Dylan , Eric Clapton , George Harrison , Neil Young , Roger McGuinn and Tom Petty during Bob Dylan 's 30th anniversary concert celebration in New York City , October 1992 ."
UAD-A-0100,0.5098377938,0,0,0,0,0,0.673648503,0.673648503,0,0,0,0,0,0,0,0,0.4038086232,0.0674639117,Barack Obama,16,18,America,0,1,America can become a nation to be proud of -- by letting ourselves be led by Barack Obama .
UAD-A-0101,0.9291577816,0,0,0.1202721622,0,0,1,1,0,0,0,0,0,0,0,0,0.18857941,0,Luisa Diogo,19,21,Mozambique,14,15,"Amid reports that farmers were refusing to leave their livestock in threatened areas , Mozambique 's prime minister , Luisa Diogo , ordered forced evacuations of citizens in low-lying areas of the Zambezi valley ."
UAD-A-0104,0.4832941046,0,0,0.199050136,0,0,0.651246966,0.7298988467,0,0,0,0.0468586,0,0,0,0,0.2273667762,0,Richard Murphy,26,28,U.S.,24,25,"Among the listed participants are the U.S. State Department 's Assistant Secretary of State for Near Eastern Affairs , David Welch ; and former U.S. Ambassador Richard Murphy ; and al-Fatah University 's associate professor of international relations , Yourself M. Guiana Aswan ."
UAD-A-0106,0.3716606898,0,0,0,0,0,0,0,0,0,0,0,0,0.0523999571,0.3911515792,0,0.0503535105,0.5060949533,Charles B. Rangel,12,15,New York,23,25,Among these were a $ 1.9 million grant to help create the Charles B. Rangel Center for Public Service at City College of New York .
UAD-A-0107,0.5264943791,0,0,0.0606885428,0,0,0,0.0599747067,0,0,0,0,0,0,0,0,0.1516763461,0.7276604044,Herb Caen,9,11,The City,33,35,"A month later , Muni dedicated a car to Herb Caen , the noted columnist for the San Francisco Chronicle perhaps most famous for coining the phrase Baghdad by the Bay to describe The City ."
UAD-A-0108,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amos Boon,0,2,Singapore,10,11,"Amos Boon ( born on July 12 , 1972 in Singapore ) is a Singaporean football ( soccer ) goalkeeper currently playing for Geylang United FC. Football career Boon started his S.League career with Tanjong Pagar United FC in 1996 , which he stayed for three years ."
UAD-A-0109,0.3827866954,0,0,0.5380161727,0,0,0.1470549499,0.1470549499,0,0,0,0,0,0,0,0,0.3818855969,0,Rafael Correa,15,17,Ecuador,18,19,"An admirer of socialist firebrands Hugo Chavez of Venezuela , Evo Morales of Bolivia and Rafael Correa of Ecuador , he champions the rights of the poor ."
UAD-A-0110,0.9917126559,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0386307511,0,0,0,Ben Bernanke,11,13,US Federal Reserve,7,10,"Analysts said the heavy falls coincided with US Federal Reserve chairman Ben Bernanke 's semiannual forecast to Congress , in which he said there was a `` high degree of uncertainty '' about the US economic outlook ."
UAD-A-0113,0.9753161667,0,0,0,0,0,0.9572073118,1,0,0,0,0,0,0,0,0,0,0,Jacob Zuma,2,4,ANC,0,1,ANC president Jacob Zuma who is likely to be elected president in the next general election is not eligible as he is currently none of these .
UAD-A-0114,0.8686473155,0,0.0553823608,0,0,0,0.910074058,0.9446176392,0,0,0,0,0,0,0,0,0,0,Steve Jobs,15,17,Apple,11,12,And nowhere will that be more apparent than Tuesday morning when Apple 's chief executive Steve Jobs takes the stage at the Macworld Expo trade show in San Francisco .
UAD-A-0115,0.8978059375,0,0,0.9784109246,0,0,0,0,0,0,0,0,0,0,0,0,0.2172172921,0,Andrea Bargnani,0,2,"Rome , Italy",23,26,"Andrea Bargnani , nicknamed `` Il Mago '' ( translated to `` The Magician '' ) , ( born October 26 1985 in Rome , Italy ) is an Italian professional basketball player with the Toronto Raptors of the National Basketball Association ."
UAD-A-0118,0.9080987766,0,0,0,0,0,0.8556324274,0.989369155,0,0,0,0,0,0,0,0,0.010630845,0,Stephen A. Schwarzman,1,4,Blackstone Group,9,11,"And Stephen A. Schwarzman , chief executive of the Blackstone Group -- feted just a year ago for his investment prowess and glorious lifestyle -- is watching his celebrated buyout firm wizen in the stock market ."
UAD-A-0119,0.6578206857,0,0,0,0,0,0,0.0660885977,0,0,0,0,0,0,0,0.0501471029,0.0636764624,0.8200878369,Jake Gyllenhaal,18,20,LA,39,40,"And to remind us of the days of Zodiac 's release , here is a video clip of Jake Gyllenhaal and Mark Ruffalo at the special screening of Zodiac in NYC , which took place the day before the LA premiere ."
