,pattern,seed_relation,object,sent_id,b1,e1,b2,e2,sentence,ground_truth,term1,term2
42,SF13_ENG_002,per:title,chief operating officer,CONTEXT_POS_43,0,1,4,7,"Bolland , previously a chief operating officer at Dutch brewing giant Heineken , expressed his pleasure at being offered the chance to lead `` one of the world 's great brands . ''",correct,Bolland,chief operating officer
43,SF13_ENG_003,per:title,boss,CONTEXT_POS_44,13,15,12,13,"Other speakers at the one-day CBI meeting will include Marks and Spencer boss Stuart Rose and Royal Bank of Scotland head Stephen Hester , as well as Jeffrey Kindler , chief of US drugs giant Pfizer .",correct,Stuart Rose,boss
44,SF13_ENG_003,per:title,chairman,CONTEXT_POS_45,0,1,10,11,"Rose , who formerly served both as chief executive and chairman , will lead the search for a new independent non-executive chairman before finally leaving M&S in March 2011 .",correct,Rose,chairman
45,SF13_ENG_003,per:title,chairman,CONTEXT_POS_46,0,1,11,12,"Rose , who combines his chief executive role with that of chairman of Marks and Spencer , will go on to act as part-time chairman of the group until mid-2011 .",correct,Rose,chairman
46,SF13_ENG_003,per:title,chairman,CONTEXT_POS_47,12,14,11,12,"`` These are strong quarterly results by any measure, '' M&S chairman Stuart Rose said in the statement .",correct,Stuart Rose,chairman
47,SF13_ENG_003,per:title,Chairman,CONTEXT_POS_48,1,3,0,1,"Chairman Stuart Rose said the company had a `` satisfactory '' start in the first quarter , but remained cautious about the full-year outlook .",correct,Stuart Rose,Chairman
48,SF13_ENG_003,per:title,Chairman,CONTEXT_POS_49,1,4,0,1,"Chairman Sir Stuart Rose , speaking after publication of the results , told reporters that the `` worst effects of the recession '' were over -- but voiced some caution in light of government austerity measures in Britain .",correct,Sir Stuart Rose,Chairman
49,SF13_ENG_003,per:title,Chairman,CONTEXT_POS_50,14,16,13,14,"`` We are pleased with the improving trend in our performance, '' said Chairman Stuart Rose in the statement .",correct,Stuart Rose,Chairman
50,SF13_ENG_003,per:title,chairman,CONTEXT_POS_51,14,16,13,14,"`` We have had a satisfactiory start to the first quarter, '' said chairman Stuart Rose .",correct,Stuart Rose,chairman
51,SF13_ENG_003,per:title,chairman,CONTEXT_POS_52,16,18,15,16,"`` We had a good Christmas , continuing the improvements seen throughout 2009, '' M&S chairman Stuart Rose said in the statement .",correct,Stuart Rose,chairman
52,SF13_ENG_003,per:title,chairman,CONTEXT_POS_53,2,4,1,2,Marks chairman Stuart Rose said the change would make it `` much more convenient '' for customers looking to purchase groceries in just one shop .,correct,Stuart Rose,chairman
53,SF13_ENG_003,per:title,chief executive,CONTEXT_POS_54,0,1,5,7,"Rose , who combines his chief executive role with that of chairman of Marks and Spencer , will go on to act as part-time chairman of the group until mid-2011 .",correct,Rose,chief executive
54,SF13_ENG_003,per:title,chief executive,CONTEXT_POS_55,0,1,7,9,"Rose , who formerly served both as chief executive and chairman , will lead the search for a new independent non-executive chairman before finally leaving M&S in March 2011 .",correct,Rose,chief executive
55,SF13_ENG_003,per:title,chief executive,CONTEXT_POS_56,0,3,5,7,"Sir Stuart Rose , the chief executive and chairman of British retailer Marks & Spencer Group PLC , will take a 25 percent pay cut later this year when he gives up his executive role , the company said Thursday .",correct,Sir Stuart Rose,chief executive
56,SF13_ENG_003,per:title,chief executive,CONTEXT_POS_57,15,17,5,7,"Bolland , 50 , currently chief executive of British supermarket chain Morrisons , will replace Stuart Rose at the start of 2010 , Marks and Spencer said in a statement .",correct,Stuart Rose,chief executive
57,SF13_ENG_003,per:title,chief executive,CONTEXT_POS_58,9,10,15,17,Marks & Spencer drew criticism from some shareholders when Rose took the dual roles of chief executive and chairman in 2008 .,correct,Rose,chief executive
58,SF13_ENG_003,per:title,executive chairman,CONTEXT_POS_59,11,13,1,3,"The executive chairman of British retail giant Marks and Spencer , Stuart Rose , attacked Brown Thursday for dismissing their concerns .",correct,Stuart Rose,executive chairman
59,SF13_ENG_004,per:title,chairman,CONTEXT_POS_60,0,1,4,5,Flint 's promotion to chairman comes after Green was appointed Britain 's trade minister on September 7 .,correct,Flint,chairman
60,SF13_ENG_004,per:title,Chairman,CONTEXT_POS_61,1,3,9,10,"`` Douglas Flint will succeed Stephen Green as Group Chairman and Stuart Gulliver will be appointed Group Chief Executive , following Michael Geoghegan 's decision to retire early next year, '' HSBC said in a statement .",correct,Douglas Flint,Chairman
61,SF13_ENG_004,per:title,chairman,CONTEXT_POS_62,21,23,24,25,"Brendan Nelson , a Scottish Chartered Accountant who is a director of the U.K. Financial Services Skills Council , will succeed Douglas Flint as chairman of BP 's Audit Committee when Flint retires from the board next year .",correct,Douglas Flint,chairman
62,SF13_ENG_004,per:title,chairman,CONTEXT_POS_63,22,24,27,28,"HSBC said Stuart Gulliver , head of its investment arm , would replace Michael Geoghegan as chief executive and chose finance director Douglas Flint as its new chairman following a reported boardroom struggle .",correct,Douglas Flint,chairman
63,SF13_ENG_004,per:title,chairman,CONTEXT_POS_64,22,24,30,31,"HSBC said Stuart Gulliver , head of its investment arm , is to replace Geoghegan as chief executive , while finance director Douglas Flint will be the bank 's new chairman following the resignation of Stephen Green .",correct,Douglas Flint,chairman
64,SF13_ENG_004,per:title,chairman,CONTEXT_POS_65,2,3,1,2,"New chairman Flint will earn a basic annual salary of 1.5 million pounds but will not be entitled to any bonus or share incentive awards , HSBC said .",correct,Flint,chairman
65,SF13_ENG_004,per:title,chairman,CONTEXT_POS_66,3,5,7,8,"Chief Financial Officer Douglas Flint will become chairman , succeeding Stephen Green who is leaving to take a government job .",correct,Douglas Flint,chairman
66,SF13_ENG_004,per:title,chairman,CONTEXT_POS_67,3,5,7,8,"Chief Financial Officer Douglas Flint will become chairman , succeeding Stephen Green who is leaving to take a government post .",correct,Douglas Flint,chairman
67,SF13_ENG_004,per:title,chairman,CONTEXT_POS_68,6,8,13,14,"The bank 's finance director , Douglas Flint , will take over as chairman of HSBC from Stephen Green , Bloomberg News reported from London , citing a person briefed on the matter .",correct,Douglas Flint,chairman
68,SF13_ENG_004,per:title,chairman,CONTEXT_POS_69,8,10,12,13,"At the same time , Chief Financial Officer Douglas Flint will become chairman , succeeding Stephen Green who is leaving to take a government job .",correct,Douglas Flint,chairman
69,SF13_ENG_004,per:title,chief financial officer,CONTEXT_POS_70,23,25,20,23,"Stuart Gulliver , the head of HSBC 's investment banking operations , will succeed Geoghegan as chief executive , and chief financial officer Douglas Flint will become chairman , the Financial Times said .",correct,Douglas Flint,chief financial officer
70,SF13_ENG_004,per:title,chief financial officer,CONTEXT_POS_71,28,30,25,28,"HSBC rose 1.2 percent to 81.60 after confirming Friday that head of investment banking Stuart Gulliver will replace Michael Geoghegan as chief executive , and chief financial officer Douglas Flint will succeed Stephen Green as chairman .",correct,Douglas Flint,chief financial officer
71,SF13_ENG_004,per:title,Chief Financial Officer,CONTEXT_POS_72,3,5,0,3,"Chief Financial Officer Douglas Flint will become chairman , succeeding Stephen Green who is leaving to take a government job .",correct,Douglas Flint,Chief Financial Officer
72,SF13_ENG_004,per:title,Chief Financial Officer,CONTEXT_POS_73,8,10,5,8,"HSBC confirmed on Friday that Chief Financial Officer Douglas Flint would succeed Green as group chairman and Stuart Gulliver , its head of investment banking , would replace Michael Geoghegan as chief executive .",correct,Douglas Flint,Chief Financial Officer
73,SF13_ENG_004,per:title,finance director,CONTEXT_POS_74,22,24,20,22,"HSBC said Stuart Gulliver , head of its investment arm , is to replace Geoghegan as chief executive , while finance director Douglas Flint will be the bank 's new chairman following the resignation of Stephen Green .",correct,Douglas Flint,finance director
74,SF13_ENG_004,per:title,finance director,CONTEXT_POS_75,25,27,23,25,"HSBC said late Friday that Stuart Gulliver , head of its investment arm , would replace Michael Geoghegan as chief executive and chose finance director Douglas Flint as its new chairman , succeeding Stephen Green",correct,Douglas Flint,finance director
75,SF13_ENG_004,per:title,finance director,CONTEXT_POS_76,33,35,31,33,"HSBC , Europe 's largest bank , on Friday said Stuart Gulliver , head of its investment arm , would replace Michael Geoghegan as chief executive and chose the bank 's finance director Douglas Flint to be its new chairman .",correct,Douglas Flint,finance director
76,SF13_ENG_004,per:title,finance director,CONTEXT_POS_77,3,5,1,3,"HSBC finance director Douglas Flint is emerging as the likely candidate to replace Stephen Green as chairman , a report said Thursday , citing people close to the bank 's board .",correct,Douglas Flint,finance director
77,SF13_ENG_004,per:title,finance director,CONTEXT_POS_78,6,8,3,5,"The bank 's finance director , Douglas Flint , will take over as chairman of HSBC from Stephen Green , Bloomberg News reported from London , citing a person briefed on the matter .",correct,Douglas Flint,finance director
78,SF13_ENG_005,per:charges,conspiracy,CONTEXT_POS_79,0,1,17,18,"Rana , a 49-year-old Canadian co-defendant who also lived in Chicago , has pleaded not guilty to conspiracy to provide material support to terrorism in Denmark and India , as well as to Lashkar-e-Taiba .",correct,Rana,conspiracy
79,SF13_ENG_005,per:cities_of_residence,Chicago,CONTEXT_POS_80,8,9,10,11,Nobody answered a knock at the door at Rana 's Chicago home on Tuesday .,correct,Rana,Chicago
80,SF13_ENG_005,per:countries_of_residence,Canada,CONTEXT_POS_81,0,1,6,7,"Rana , a Pakistani immigrant to Canada who has lived in Chicago for a decade , and Headley are charged in criminal complaints with conspiring to provide material support to terrorism and providing material support to terrorism .",correct,Rana,Canada
81,SF13_ENG_005,per:countries_of_residence,Canada,CONTEXT_POS_82,2,3,8,9,"He and Rana , a Pakistani immigrant to Canada who has lived in Chicago for a decade , are charged in criminal complaints with conspiring to provide material support to terrorism and providing material support to terrorism .",correct,Rana,Canada
82,SF13_ENG_005,per:countries_of_residence,Pakistan,CONTEXT_POS_83,30,31,35,36,"The men , who live in the Chicago area , were identified as David Coleman Headley , 49 , a US citizen , and Tahawwur Hussain Rana , 48 , Rana , a native of Pakistan and citizen of Canada .",correct,Rana,Pakistan
83,SF13_ENG_005,per:countries_of_residence,U.S.,CONTEXT_POS_84,0,1,13,14,"Rana has been a lawful citizen of Canada and has lived in the U.S. for ten years without incident , according to that filing .",correct,Rana,U.S.
84,SF13_ENG_005,per:country_of_birth,Pakistan,CONTEXT_POS_85,0,1,4,5,Rana was born in Pakistan but eventually became a Canadian citizen who lived in the Chicago area .,correct,Rana,Pakistan
85,SF13_ENG_005,per:country_of_birth,Pakistan,CONTEXT_POS_86,0,3,8,9,"Tahawwur Hussain Rana , a 49-year-old born in Pakistan , has been held in jail since his October arrest on charges of helping plot an attack on the Danish newspaper that published incendiary cartoons of the prophet Mohammed in 2005 .",correct,Tahawwur Hussain Rana,Pakistan
86,SF13_ENG_005,per:country_of_birth,Pakistan,CONTEXT_POS_87,16,19,25,26,"The pair were identified as David Coleman Headley , 49 , a US citizen , and Tahawwur Hussain Rana , 48 , a native of Pakistan with Canadian citizenship .",correct,Tahawwur Hussain Rana,Pakistan
87,SF13_ENG_005,per:employee_or_member_of,First World Immigration Services,CONTEXT_POS_88,0,1,2,6,"Rana operates First World Immigration Services , a Chicago business that authorities allege was used as a cover for Headley as he traveled to Europe and India .",correct,Rana,First World Immigration Services
88,SF13_ENG_005,per:employee_or_member_of,Iqbal Society,CONTEXT_POS_89,3,4,19,21,"Blegen argued that Rana was not an advocate of violence , saying that he was a member of the Iqbal Society , which promotes change through legal and nonviolent means .",correct,Rana,Iqbal Society
89,SF13_ENG_005,per:origin,Canada,CONTEXT_POS_90,30,31,39,40,"The men , who live in the Chicago area , were identified as David Coleman Headley , 49 , a US citizen , and Tahawwur Hussain Rana , 48 , Rana , a native of Pakistan and citizen of Canada .",correct,Rana,Canada
90,SF13_ENG_005,per:origin,Canadian,CONTEXT_POS_91,0,1,3,4,"Rana is a Canadian citizen who has lived legally in Chicago , where he operated a travel agency and other businesses .",correct,Rana,Canadian
91,SF13_ENG_005,per:origin,Canadian,CONTEXT_POS_92,0,1,3,4,"Rana is a Canadian citizen with `` means and knowledge to flee internationally , he has substantial financial resources and international contacts ... there are no conditions of release that would reasonably ensure his appearance, '' she said .",correct,Rana,Canadian
92,SF13_ENG_005,per:origin,Canadian,CONTEXT_POS_93,0,1,5,6,"Rana , who is a Canadian citizen , was arrested Oct. 18 in his home .",correct,Rana,Canadian
93,SF13_ENG_005,per:origin,Canadian,CONTEXT_POS_94,21,24,33,34,"Officials in Mumbai said that the two suspects , David Coleman Headley , an American with links of Pakistan , and Tahawwur Hussain Rana , who was born in Pakistan but is a Canadian citizen , both visited Mumbai and several other Indian cities in before the attacks , and may have visited some of the sites that were attacked .",correct,Tahawwur Hussain Rana,Canadian
94,SF13_ENG_005,per:origin,Canadian,CONTEXT_POS_95,23,26,21,22,"`` The government has met its burden of showing serious risk of flight, '' Judge Nan Nolan said of the Pakistan-born Canadian national Tahawwur Hussain Rana .",correct,Tahawwur Hussain Rana,Canadian
95,SF13_ENG_005,per:origin,Canadian,CONTEXT_POS_96,2,5,10,11,"Chicago businessman Tahawwur Hussain Rana , 48 , a Pakistani-born Canadian national , is charged with providing material support to terrorists in the planned attack on the Danish newspaper .",correct,Tahawwur Hussain Rana,Canadian
96,SF13_ENG_005,per:origin,Canadian,CONTEXT_POS_97,4,7,9,10,"A third man , Tahawwur Hussain Rana , a Canadian citizen , was arrested in October on federal charges filed in Chicago relating to the newspaper plot .",correct,Tahawwur Hussain Rana,Canadian
97,SF13_ENG_005,per:origin,Canadian,CONTEXT_POS_98,9,12,6,7,"The second suspect -- a Pakistani-born Canadian citizen , Tahawwur Hussain Rana -- was arrested with Headley in October .",correct,Tahawwur Hussain Rana,Canadian
98,SF13_ENG_005,per:origin,Pakistan,CONTEXT_POS_99,0,1,4,5,Rana was born in Pakistan but eventually became a Canadian citizen who lived in the Chicago area .,correct,Rana,Pakistan
99,SF13_ENG_005,per:origin,Pakistan,CONTEXT_POS_100,30,31,35,36,"The men , who live in the Chicago area , were identified as David Coleman Headley , 49 , a US citizen , and Tahawwur Hussain Rana , 48 , Rana , a native of Pakistan and citizen of Canada .",correct,Rana,Pakistan
100,SF13_ENG_005,per:origin,U.S.,CONTEXT_POS_101,2,4,0,1,U.S. citizen Tahawwur Rana faces trial in Chicago in February in connection with the 2008 terrorist attacks in Mumbai and a planned attack on the Jyllands-Posten .,correct,Tahawwur Rana,U.S.
101,SF13_ENG_005,per:origin,U.S.,CONTEXT_POS_102,2,4,0,1,U.S. citizen Tahawwur Rana faces trial in Chicago in February in connection with the 2008 terrorist attacks in the Indian city of Mumbai and a planned attack on the Jyllands-Posten .,correct,Tahawwur Rana,U.S.
102,SF13_ENG_005,per:schools_attended,Hasan Abdal Cadet College,CONTEXT_POS_103,2,3,10,14,"He met Rana when they were both teenagers at the Hasan Abdal Cadet College , a prestigious Pakistani boarding school with red brick buildings and manicured grounds outside the capital , Islamabad .",correct,Rana,Hasan Abdal Cadet College
103,SF13_ENG_005,per:title,businessman,CONTEXT_POS_104,0,1,3,4,Rana is a businessman who was born in Pakistan and is now a Canadian citizen living legally in Chicago .,correct,Rana,businessman
104,SF13_ENG_005,per:title,businessman,CONTEXT_POS_105,0,1,5,6,"Rana , a Pakistani-born Canadian businessman , is charged with providing material support to terrorists .",correct,Rana,businessman
105,SF13_ENG_005,per:title,businessman,CONTEXT_POS_106,10,13,9,10,"On Monday , Headley 's co-defendant , 49-year-old Chicago businessman Tahawwur Hussain Rana , pleaded not guilty to the charges against him .",correct,Tahawwur Hussain Rana,businessman
106,SF13_ENG_005,per:title,businessman,CONTEXT_POS_107,3,4,6,7,Blegen has called Rana a legitimate businessman who was duped by Headley and denies the charges against him .,correct,Rana,businessman
107,SF13_ENG_005,per:title,businessman,CONTEXT_POS_108,4,7,3,4,"CHICAGO : Chicago businessman Tahawwur Hussain Rana , 49 , is arraigned on charges he helped plot the deadly 2008 Mumbai attacks and an attack on a Danish newspaper in 2005 .",correct,Tahawwur Hussain Rana,businessman
108,SF13_ENG_005,per:title,businessman,CONTEXT_POS_109,4,7,3,4,"Headley and Chicago businessman Tahawwur Hussain Rana are suspected Islamist militants charged not with targeting the United States , but with staging foreign operations from relative anonymity on American soil .",correct,Tahawwur Hussain Rana,businessman
109,SF13_ENG_005,per:title,businessman,CONTEXT_POS_110,5,8,4,5,David Coleman Headley and businessman Tahawwur Hussain Rana were named in a 12-count superseding indictment that for the first time alleged Rana was in on the planning of the attacks by a team of 10 terrorists .,correct,Tahawwur Hussain Rana,businessman
110,SF13_ENG_005,per:title,businessman,CONTEXT_POS_111,9,10,14,15,"Decades later on Chicago 's far north side , Rana is considered a well-connected businessman on Devon Avenue , a bustling corridor crowded with shops owned by residents of Pakistani and Indian heritage .",correct,Rana,businessman
111,SF13_ENG_005,per:title,counselor,CONTEXT_POS_112,20,22,19,20,"The filings are part of prosecutors ' efforts to bolster their case that Chicago grocery store owner and immigration counselor Tahawwur Rana , 48 , should not be freed on bond pending resolution of terrorism charges against him and David C. Headley .",correct,Tahawwur Rana,counselor
112,SF13_ENG_005,per:title,medical doctor,CONTEXT_POS_113,19,20,23,25,"`` He 's an excellent and all-around gentleman who has many business interests, '' said Sanders , who described Rana as a non-practicing medical doctor `` very active in the community . ''",correct,Rana,medical doctor
113,SF13_ENG_005,per:title,owner,CONTEXT_POS_114,0,1,3,4,"Rana , the owner of an immigration business and a Grundy County meat processing plant , was arrested last month after raids connected to the terror investigation .",correct,Rana,owner
