"sent_id","per:title","org:founded_by","per:place_of_birth","per:children","per:alternate_names","per:cause_of_death","org:top_members_employees","per:employee_or_member_of","per:spouse","org:alternate_names","per:age","org:subsidiaries","per:place_of_death","per:schools_attended","org:place_of_headquarters","per:charges","per:origin","per:places_of_residence","none","per:title_cos","org:founded_by_cos","per:place_of_birth_cos","per:children_cos","per:alternate_names_cos","per:cause_of_death_cos","org:top_members_employees_cos","per:employee_or_member_of_cos","per:spouse_cos","org:alternate_names_cos","per:age_cos","org:subsidiaries_cos","per:place_of_death_cos","per:schools_attended_cos","org:place_of_headquarters_cos","per:charges_cos","per:origin_cos","per:places_of_residence_cos","none_cos","workers","max_cos","max_rel","seed_relation","seed_relation_cos","term1","b1","e1","term2","b2","e2","sentence"
"CONTEXT_NEG_1913",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.722315118514615,0,0,0,0.240771706171538,0.601929265428846,0.240771706171538,15,0.722315118514615,"per:place_of_death","per:places_of_residence",0.601929265428846,"Edwards","37","38","Chapel Hill","40","42","-- Elizabeth Edwards , 61 , who captured Americans ' sympathy and admiration for her grace in coping with the death of a child , breast cancer and the infidelity of her husband , presidential candidate John Edwards , in Chapel Hill , North Carolina after a six-year battle with the disease ."
"CONTEXT_NEG_2081",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0.0712470499879096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997458699830735,15,0.997458699830735,"none","per:age",0,"Maria Kaczynska","6","8","dozens","9","10","Besides the president and his wife Maria Kaczynska , dozens of other senior Polish political figures and military top brass perished ."
"CONTEXT_NEG_4213",0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0957826285221151,0.19156525704423,0,0,0,0.19156525704423,0,0,0,0,0,0,0.957826285221151,15,0.957826285221151,"none","org:founded_by",0,"Arcandor","12","13","Thomas Cook","0","2","Thomas Cook , meanwhile , has been insulated from the turmoil at Arcandor , and jobs there are not believed to be at risk ."
"CONTEXT_NEG_639",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0819231920519041,0,0,0,0.163846384103808,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983078304622849,15,0.983078304622849,"none","per:alternate_names",0.163846384103808,"Gadahn","10","11","Abu Yahiya","6","8","But three senior security officials said Abu Yahiya was not Gadahn ."
"CONTEXT_NEG_902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,"none","per:children",0,"Haig","13","14","H.R. Haldeman","19","21","The next year , as the Watergate scandal deepened , Nixon turned to Haig and appointed him to succeed H.R. Haldeman as White House chief of staff ."
"CONTEXT_NEG_2854",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0712470499879096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997458699830735,15,0.997458699830735,"none","per:spouse",0,"Dunne","2","3","Ethel Skakel","15","17","Similarly , Dunne , a guest at the 1950 wedding of Robert F. Kennedy and Ethel Skakel , turned his theories about the culpability of Ethel 's nephew , Michael Skakel , in a long-unsolved murder into another novel , `` A Season in Purgatory '' ( 1993 ) ."
"CONTEXT_NEG_3169",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,1,0,0,0.198029508595335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39605901719067,0.891132788679007,0.0990147542976674,15,0.891132788679007,"per:places_of_residence","per:places_of_residence",0.891132788679007,"Gwathmey","19","20","Los Angeles","21","23","Gwathmey 's first marriage , to Emily Gwathmey , ended in divorce ; they had one daughter , Annie Gwathmey of Los Angeles , who survives him ."
"CONTEXT_NEG_3351",0,1,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,1,0,0.0816496580927726,0,0,0,0,0.163299316185545,0.979795897113271,0,0,0,0,0,0,0,0,0,0,0.0816496580927726,15,0.979795897113271,"per:employee_or_member_of","org:top_members_employees",0.163299316185545,"United Steelworkers","6","8","Leo Gerard","0","2","Leo Gerard , president of the United Steelworkers union , said in a separate statement that the union looks forward to working with Kirk and the Obama administration `` to make sure that today 's speech is followed by an integrated action plan . ''"
"CONTEXT_NEG_4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0.0924500327042048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369800130816819,0,0,0.924500327042048,15,0.924500327042048,"none","per:charges",0.369800130816819,"Ramazan Bashardost","7","9","fraud","30","31","`` It 's a disaster, '' said Ramazan Bashardost , a lawmaker who came in a distant third in the country 's botched August election , which was marred by fraud so widespread a third of Karzai 's ballots were thrown out ."
"CONTEXT_NEG_492",0,0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.986393923832144,0.0821994936526786,0,0,0,0.0821994936526786,0,0,0,0,0.0821994936526786,0,0.0821994936526786,15,0.986393923832144,"org:top_members_employees","per:alternate_names",0,"Ronnie James Dio","4","7","Black Sabbath","14","16","The mammoth service for Ronnie James Dio , the fiery frontman for bands like Black Sabbath , was more akin to a spirited rock concert than a dreary funeral ."
"CONTEXT_NEG_1782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710669054518702,0.0710669054518702,0.994936676326182,15,0.994936676326182,"none","per:place_of_death",0,"Fignon","5","6","France","3","4","Former Tour de France victor Fignon has cancer"
"CONTEXT_NEG_3022",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.970142500145332,0,0,0,0,0,0,0,0,0,0,0,0.242535625036333,15,0.970142500145332,"org:top_members_employees","per:schools_attended",0,"Don Meredith","52","54","Cowboys","4","5","Then there are the Cowboys , whose fans should fall to their knees , bow their heads and make a sacrifice of chips and salsa to the football gods each Sunday morning because all indications are Tony Romo will become the fourth franchise quarterback in the club 's 48-year history , succeeding Don Meredith , Roger Staubach and Aikman ."
"CONTEXT_NEG_3123",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997785157856609,0,0,0,0,0.0665190105237739,0,15,0.997785157856609,"per:place_of_death","per:place_of_birth",0,"Orlando Zapata","3","5","Havana","9","10","Leading Cuban dissident Orlando Zapata died Tuesday in a Havana hospital on the 85th day of a hunger strike , medical officials told AFP ."
"CONTEXT_NEG_3467",0,0,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0.683763458757828,0.227921152919276,0,0,0,0.113960576459638,0,0,0,0,0,0,0.683763458757828,15,0.683763458757828,"org:top_members_employees,none","org:founded_by",0,"American Association for the Advancement of Science","15","22","Patrick Clemins","11","13","`` No way this would be a scientific reprieve, '' said Patrick Clemins of the American Association for the Advancement of Science ."
"CONTEXT_NEG_2254",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.857492925712544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514495755427526,8,0.857492925712544,"per:title","per:title",0.857492925712544,"Koirala","4","5","broker","3","4","Nepal mourns peace broker Koirala"
"CONTEXT_NEG_2989",0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.534522483824849,0,0.267261241912424,0,0,0,0,0,0.801783725737273,6,0.801783725737273,"none","per:cause_of_death",0,"Don Meredith","3","5","age","24","25","Dallas Cowboys icon Don Meredith , one of the NFL franchise 's first stars , has died after suffering a brain hemorrhage at the age of 72 , the team said ."
"CONTEXT_NEG_2008",0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,12,0,0.161690416690889,0,0.0808452083454443,0,0,0,0,0,0.0808452083454443,0,0,0.0808452083454443,0,0,0.0808452083454443,0.0808452083454443,0,0.970142500145332,15,0.970142500145332,"none","per:cause_of_death",0,"Vitaly Ginzburg","0","2","bomb","16","17","Vitaly Ginzburg , a Nobel-prize winning Russian physicist and one of the fathers of Soviet hydrogen bomb , has died in Moscow ."
"CONTEXT_NEG_2390",0,0,0,0,0,0,1,0,0,1,0,1,1,0,3,1,0,3,8,0,0,0,0,0,0,0.107211253483779,0,0,0.107211253483779,0,0.107211253483779,0.107211253483779,0,0.321633760451338,0.107211253483779,0,0.321633760451338,0.857690027870236,15,0.857690027870236,"none","per:place_of_death",0.107211253483779,"Merce Cunningham","19","21","London","24","25","The success of New York City Ballet , the Graham company and others ( notably Alvin Ailey 's and Merce Cunningham 's ) in London in the 1960s made a great impression back in the United States and in other countries ; Mason had worked hard to make it happen ."
"CONTEXT_NEG_1748",0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0764719112901873,0.994134846772434,0,0,0,0,0,0,0,0,0,0.0764719112901873,15,0.994134846772434,"per:spouse","per:children",0,"Laurent Fignon","14","16","Valerie Fignon","1","3","`` Valerie Fignon , his wife , is sad to announce the death of Laurent Fignon today '' , said the hospital statement quoted by local medias ."
"CONTEXT_NEG_2179",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12,0.0824786098842323,0,0,0,0,0,0,0,0,0.0824786098842323,0,0.0824786098842323,0,0,0,0,0,0,0.989743318610787,15,0.989743318610787,"none","per:age",0,"Girija Prasad Koirala","6","9","one","10","11","Close aides say former Prime Minister Girija Prasad Koirala , one of Nepal 's most prominent politicians , has died at age 86 ."
"CONTEXT_NEG_443",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.961074462327142,0,0,0,0.0873704056661038,0,0.262111216998311,15,0.961074462327142,"per:place_of_death","per:origin",0.0873704056661038,"Mohammed Sayed Tantawi","6","9","Saudi Arabia","35","37","Egypt 's top cleric , Sheik Mohammed Sayed Tantawi , known for promoting the government agenda against female genital mutilation and the face veil , died of a heart attack Wednesday during a visit to Saudi Arabia ."
"CONTEXT_NEG_2138",0,0,0,0,1,1,1,0,0,0,0,1,10,0,1,1,1,0,2,0,0,0,0,0.0949157995752499,0.0949157995752499,0.0949157995752499,0,0,0,0,0.0949157995752499,0.949157995752499,0,0.0949157995752499,0.0949157995752499,0.0949157995752499,0,0.1898315991505,15,0.949157995752499,"per:place_of_death","per:origin",0.0949157995752499,"Maria Kaczynska","9","11","Russia","19","20","A plane carrying the body of Polish first lady Maria Kaczynska landed in Warsaw Tuesday after flying in from Russia where she was killed in an air crash with her husband and 94 others , an AFP reporter said ."
"CONTEXT_NEG_3025",1,1,0,0,1,0,8,0,0,2,0,0,0,0,0,0,1,1,3,0.110431526074847,0.110431526074847,0,0,0.110431526074847,0,0.883452208598772,0,0,0.220863052149693,0,0,0,0,0,0,0.110431526074847,0.110431526074847,0.33129457822454,15,0.883452208598772,"org:top_members_employees","per:schools_attended",0,"Don Meredith","27","29","NFL","43","44","It reported the team 's massive out-of-town and out-of-state following , the league 's first Spanish-language network , a pervasive TV presence that included former Cowboys quarterback Don Meredith 's homey work on Monday Night Football , a decade of consistently leading the NFL in souvenir sales , a celebrity connection fostered by years of staging summer training camps just outside of Los Angeles ."
"CONTEXT_NEG_3404",0,0,1,0,0,1,1,2,0,2,1,1,0,1,0,0,0,0,10,0,0,0.0936585811581694,0,0,0.0936585811581694,0.0936585811581694,0.187317162316339,0,0.187317162316339,0.0936585811581694,0.0936585811581694,0,0.0936585811581694,0,0,0,0,0.936585811581694,15,0.936585811581694,"none","org:alternate_names",0.187317162316339,"A123 Systems Inc.","24","27","Fedex Corp.","14","16","Top executives with more than a dozen companies , including Nissan Motor Co. , Fedex Corp. , electric utility PG&E Corp. and battery developers A123 Systems Inc. and Johnson Controls-Saft , announced the formation of the Electrification Coalition to lay the groundwork for millions of electric cars to reach U.S. highways ."
"CONTEXT_NEG_1049",1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,5,0.0962250448649376,0,0,0,0,0,0.866025403784439,0,0,0,0,0,0,0,0,0,0,0.0962250448649376,0.481125224324688,15,0.866025403784439,"org:top_members_employees","per:spouse",0,"Haig","0","1","Reagan","6","7","Haig served for 17 months before Reagan dismissed him with a one-page letter on June 24 , 1982 ."
"CONTEXT_NEG_466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152057184253941,0,0,0,0.988371697650617,15,0.988371697650617,"none","per:employee_or_member_of",0,"Montcourt","3","4","Czech Republic","28","30","Last month , Montcourt achieved his highest career ranking of 104 after reaching the second round at Roland Garros , where he lost to Radek Stepanek of the Czech Republic in four sets ."
